MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;3,9;4,6;4,22;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;4,5;23,4;12,4;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2009;7,4;8,8;8,025;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;152;167;157,5;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,010008;0,013142;0,01144;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2009;0,0113;0,0897;0,0333;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,000657;0,002258;0,001314;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,107058;0,426773;0,254532;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2009;0,0156;0,7;0,206925;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2009;0,3;7,5;4,333333;3
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2009;0,501;1,134;0,70025;4
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;2,8;5,5;4,15;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;18,3;23;20,65;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2009;7,9;7,9;7,9;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;444;446;445;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,008817;0,014733;0,011775;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2009;0,009344;0,015417;0,012381;2
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,002333;0,001693;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,148915;0,323059;0,235987;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2009;0,01;0,702;0,356;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2009;0,2;16,5;8,35;2
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;1,7;2,1;1,9;2
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;20;24,4;22,2;2
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2009;8;8;8;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;365;401;383;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,011117;0,01495;0,013034;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2009;0,0183;0,0314;0,02485;2
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,00153;0,002025;0,001778;2
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2009;0,330506;0,925301;0,627904;2
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2009;0,062;0,085;0,0735;2
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2009;6,8;11,3;9,05;2
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;4,4;6,8;5,6;4
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;4,6;23,9;13,25;4
Faaker See [tief.St.];pH;pH-Wert;;1;1;2009;7,3;8,4;8,025;4
Faaker See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2009;352;368;359;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2009;0,00476;0,008808;0,006807;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;29;29;2009;0,0067;0,0124;0,0091;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;29;2009;0,005197;0,008571;0,00734;4
Faaker See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2009;0,001052;0,002083;0,001419;4
Faaker See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2009;0,24183;0,307585;0,261891;4
Faaker See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;29;29;2009;0,006;0,1598;0,054725;4
Faaker See [tief.St.];O2;Sauerstoffgehalt;mg/l;29;29;2009;0,3;7,4;5,025;4
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2009;0,0606;0,4081;0,267963;4
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;29;2009;0,108924;0,438114;0,253314;4
Feldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2009;2,2;4,5;3,575;4
Feldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2009;4,6;22,9;12,525;4
Feldsee [tief.St.];pH;pH-Wert;;1;1;2009;7,6;8,7;8,1;4
