Me·stelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2015;3,1;4,6;4,05;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;¯C;0;0;2015;6;20,8;12,325;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2015;7,2;8,6;7,85;4
Afritzer See [tief.St.];K25;Elektrische LeitfÑhigkeit bei 25¯C;ÊS/cm;1;1;2015;158;171;162;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2015;0,0103;0,0188;0,012725;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2015;0,0131;0,1452;0,051575;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2015;0,010851;0,029241;0,016837;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2015;0,001;0,0026;0,0021;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2015;0,00565;0,34457;0,17807;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2015;0,0307;0,739;0,2827;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2015;0,1;7,8;3,6;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm¸/l;0;5;2015;0,26373;0,919693;0,581549;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm¸/l;0;20;2015;0,392469;1,79543;0,908325;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;Êg/l;0;5;2015;2,625;6;4,104167;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;Êg/l;0;20;2015;3,412975;8,298802;4,807604;4
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2015;2,5;4;3,25;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;¯C;0;0;2015;19,8;22,3;21,05;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2015;7,9;8;7,95;2
Aichwaldsee [tief.St.];K25;Elektrische LeitfÑhigkeit bei 25¯C;ÊS/cm;1;1;2015;402;404;403;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2015;0,0096;0,0134;0,0115;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2015;0,009833;0,013414;0,011624;2
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2015;0,001;0,002;0,0015;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2015;0,028;0,079;0,0535;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2015;0,0108;0,1195;0,06515;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2015;4,7;14,1;9,4;2
Aichwaldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm¸/l;0;5;2015;0,75535;0,762695;0,759023;2
Aichwaldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;Êg/l;0;5;2015;5;8;6,5;2
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2015;2,3;4;3,15;2
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;¯C;0;0;2015;21,2;23,2;22,2;2
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2015;7,9;8;7,95;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische LeitfÑhigkeit bei 25¯C;ÊS/cm;1;1;2015;337;369;353;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2015;0,009;0,0122;0,0106;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2015;0,0122;0,0231;0,01765;2
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2015;0,001;0,001;0,001;2
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2015;0,069;0,31526;0,19213;2
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2015;0,0193;0,0443;0,0318;2
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2015;7,3;13,6;10,45;2
Badesee Kirschentheuer [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm¸/l;0;5;2015;0;0;0;0
Badesee Kirschentheuer [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm¸/l;0;10;2015;0;0;0;0
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;Êg/l;0;5;2015;5;6,555556;5,777778;2
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;Êg/l;0;10;2015;5;7,090909;6,045455;2
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2015;3;7,1;4,9;4
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;¯C;0;0;2015;5;20,2;12,75;4
Faaker See [tief.St.];pH;pH-Wert;;1;1;2015;8;8,141;8,06025;4
Faaker See [tief.St.];K25;Elektrische LeitfÑhigkeit bei 25¯C;ÊS/cm;1;1;2015;329;379;353,75;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2015;0,0025;0,006467;0,004671;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;29;29;2015;0,0069;0,0164;0,0096;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;29;2015;0,003045;0,006673;0,00537;4
Faaker See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2015;0,001417;0,002392;0,001779;4
Faaker See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2015;0,16045;0,276351;0,215179;4
Faaker See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;29;29;2015;0,0086;0,0355;0,017875;4
Faaker See [tief.St.];O2;Sauerstoffgehalt;mg/l;29;29;2015;0,1;9,5;3,85;4
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm¸/l;0;5;2015;0,163422;0,371395;0,275396;4
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm¸/l;0;29;2015;0,129304;0,252075;0,191302;4
Faaker See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;Êg/l;0;5;2015;0,5;1,208333;0,875;4
