Meßstelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;0,5;7;3,875;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;20;2016;0,5;12,450497;5,419017;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;167;174;172;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2016;0,0126;0,7825;0,28505;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,00565;0,297;0,142858;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2016;0,1;7,8;2,525;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0111;0,0203;0,014575;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2016;0,0135;0,1434;0,051725;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2016;0,011845;0,029279;0,017409;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2016;7,4;8,9;8,05;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0,169883;0,6892;0,419701;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2016;0,207094;1,166386;0,543003;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,0054;0,002775;4
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,3;5,1;4,25;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;5,6;21,6;12,775;4
Aichwaldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;3;5;4;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;414;423;418,5;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2016;0,0302;0,199;0,1146;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2016;0,112;0,13509;0,123545;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2016;3,8;11,7;7,75;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2016;0,0086;0,012;0,0103;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2016;0,008626;0,012007;0,010317;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2016;7,9;8,1;8;2
Aichwaldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2016;0;0;0;0
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2016;0,001;0,002;0,0015;2
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2016;3,7;6;4,85;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2016;14,9;21;17,95;2
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;10;2016;2,9;4,7;3,8;2
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2016;2;5;3,5;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2016;341;405;373;2
