Meßstelle;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;AVG;MIN;MAX;ANZ
Afritzer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;µg/l;0;20;2020;11,439657;6,797391;16,288943;6
Afritzer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;µg/l;0;6;2020;6,366667;3,2;8;3
Afritzer See [tief.St.];Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2020;170,666667;165;175;3
Afritzer See [tief.St.];Ammonium-Stickstoff;mg/l;20;20;2020;0,756333;0,402;1,23;3
Afritzer See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2020;0,142667;0,062;0,242;3
Afritzer See [tief.St.];Sauerstoffgehalt;mg/l;20;20;2020;0,9;0,1;2,5;3
Afritzer See [tief.St.];Phosphor gesamt;mg/l;0;6;2020;0,016;0,014;0,017;3
Afritzer See [tief.St.];Phosphor gesamt;mg/l;20;20;2020;0,051167;0,0195;0,096;3
Afritzer See [tief.St.];Phosphor gesamt;mg/l;0;22;2020;0,021405;0,0163;0,025028;3
Afritzer See [tief.St.];pH-Wert;;1;1;2020;7,966667;7,6;8,3;3
Afritzer See [tief.St.];Phytoplankton Biovolumen;mm³/l;0;20;2020;1,28482;0,265205;2,488207;3
Afritzer See [tief.St.];Phytoplankton Biovolumen;mm³/l;0;6;2020;1,02248;0,247749;2,206981;3
Afritzer See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2020;0,002667;0,001;0,004;3
Afritzer See [tief.St.];Sichttiefe;m;0;0;2020;4,2;3,3;4,8;3
Afritzer See [tief.St.];Wassertemperatur;°C;0;0;2020;13,7;7;18,5;3
Aichwaldsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;µg/l;0;6;2020;8;4,3;11,7;2
Aichwaldsee [tief.St.];Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2020;411;408;414;2
Aichwaldsee [tief.St.];Ammonium-Stickstoff;mg/l;7;7;2020;0,19695;0,0209;0,373;2
Aichwaldsee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2020;0,112;0,086;0,138;2
Aichwaldsee [tief.St.];Sauerstoffgehalt;mg/l;7;7;2020;8,55;0,1;17;2
Aichwaldsee [tief.St.];Phosphor gesamt;mg/l;0;7;2020;0,012082;0,010108;0,014055;2
Aichwaldsee [tief.St.];Phosphor gesamt;mg/l;0;6;2020;0,01205;0,0101;0,014;2
Aichwaldsee [tief.St.];pH-Wert;;1;1;2020;8,05;8;8,1;2
Aichwaldsee [tief.St.];Phytoplankton Biovolumen;mm³/l;0;6;2020;1,068651;0,871101;1,266201;2
Aichwaldsee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2020;0,001;0,001;0,001;2
Aichwaldsee [tief.St.];Sichttiefe;m;0;0;2020;3,85;3,5;4,2;2
Aichwaldsee [tief.St.];Wassertemperatur;°C;0;0;2020;19,55;16,4;22,7;2
