MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2014;3,3;5,7;4,05;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2014;5,7;22,3;12,6;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2014;7,3;8,6;8;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2014;147;171;158,5;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2014;0,012142;0,018875;0,015911;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2014;0,0149;0,0885;0,035075;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2014;0,014972;0,025952;0,019078;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2014;0,00105;0,003808;0,002465;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2014;0,028079;0,356694;0,188692;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2014;0,0163;0,616;0,198325;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2014;0,1;8,5;3,766667;3
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2014;0,466348;1,3067;0,834981;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2014;0,466348;1,564041;1,007621;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2014;2;8,125;5,03125;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;20;2014;2;11,852838;5,932701;4
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2014;2,7;4,3;3,5;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2014;18,4;18,4;18,4;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2014;7,7;8;7,85;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2014;421;463;442;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2014;0,010442;0,015425;0,012934;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2014;0,010543;0,015199;0,012871;2
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2014;0,001654;0,002142;0,001898;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2014;0,09075;0,207919;0,149335;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2014;0,0621;0,1068;0,08445;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2014;0,1;6,3;3,2;2
Aichwaldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2014;2;7;4,5;2
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2014;2,5;4,3;3,4;2
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2014;19,8;21,2;20,5;2
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2014;8,2;8,2;8,2;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2014;380;408;394;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2014;0,011667;0,0135;0,012584;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2014;0,0126;0,0176;0,0151;2
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2014;0,001604;0,00285;0,002227;2
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2014;0,111;0,657309;0,384155;2
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2014;0,026;0,0864;0,0562;2
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2014;8,2;8,6;8,4;2
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2014;6,75;8;7,375;2
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;10;2014;6,5;7;6,75;2
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2014;1,7;6,3;3,875;4
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2014;5,4;21,4;13,6;4
