MESSSTELLE;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;2,2;5,5;3,875;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;4,5;18,1;11,5;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2008;7,4;8,7;7,9;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;149;153;151;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,0095;0,015625;0,011711;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2008;0,009;0,0163;0,01265;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2008;0,010413;0,020915;0,014023;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,000104;0,002405;0,001377;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,037342;0,161542;0,096725;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2008;0,01;0,148;0,084275;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2008;0,2;10,5;6,05;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2008;0,48593;1,0836;0,755598;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2008;0,543692;1,174292;0,935769;4
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;3,3;4,5;3,9;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;17,7;17,8;17,75;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2008;7,8;8,4;8,1;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;416;424;420;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,003;0,0113;0,00715;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2008;0,003291;0,011494;0,007393;2
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,0015;0,001276;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,114104;0,117823;0,115964;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2008;0,0025;0,1046;0,05355;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2008;2,1;14,6;8,35;2
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;2,5;5;3,75;2
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;22,2;23;22,6;2
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2008;8;8,3;8,15;2
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;334;363;348,5;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,009667;0,011317;0,010492;2
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2008;0,012;0,0158;0,0139;2
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,001052;0,0015;0,001276;2
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2008;0,303;0,698002;0,500501;2
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2008;0,0327;0,041;0,03685;2
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2008;6,6;14;10,3;2
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;3,9;5,8;5,033333;3
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;4,7;17,9;13,033333;3
Faaker See [tief.St.];pH;pH-Wert;;1;1;2008;8;8,4;8,266667;3
Faaker See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;323;362;347,333333;3
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,003;0,003753;0,003251;3
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;29;29;2008;0,003;0,0082;0,0054;3
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;29;2008;0,003;0,004955;0,003673;3
Faaker See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,0015;0,001905;0,001635;3
Faaker See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,147216;0,212506;0,185697;3
Faaker See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;29;29;2008;0,022;0,035;0,028667;3
Faaker See [tief.St.];O2;Sauerstoffgehalt;mg/l;29;29;2008;2,7;12,1;7,133333;3
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2008;0,18965;0,5248;0,393623;3
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;29;2008;0,321483;0,519178;0,408347;3
Feldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;4,2;5,9;4,75;4
Feldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;5,1;18,6;11,875;4
Feldsee [tief.St.];pH;pH-Wert;;1;1;2008;7,3;8,7;7,95;4
Feldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;116;123;120;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,004417;0,012475;0,008538;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;26;26;2008;0,008;0,0147;0,0114;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;26;2008;0,008526;0,012066;0,010291;4
Feldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,000104;0,0015;0,001039;4
Feldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,027908;0,193253;0,136103;4
Feldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;26;26;2008;0,0048;0,097;0,03735;4
Feldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;26;26;2008;0,3;10;4,75;4
Feldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2008;0,27697;0,97194;0,63466;4
Feldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;26;2008;0,499712;1,790107;0,94762;4
Ferlacher Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2008;4,2;4,4;4,3;2
Ferlacher Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2008;19,9;20,7;20,3;2
Ferlacher Badesee [tief.St.];pH;pH-Wert;;1;1;2008;8;8,3;8,15;2
Ferlacher Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2008;280;314;297;2
Ferlacher Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2008;0,00375;0,004227;0,003989;2
Ferlacher Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2008;0,0015;0,011788;0,006644;2
Ferlacher Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2008;0,14081;0,186423;0,163617;2
