Meßstelle;PARAMETER;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;MIN;MAX;AVG;ANZ
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2018;4;30;13,75;4
Afritzer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;20;2018;4;15,283659;9,797954;4
Afritzer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;138;177;164,25;4
Afritzer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;20;20;2018;0,0398;1,0525;0,454875;4
Afritzer See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2018;0,003;0,422;0,1785;4
Afritzer See [tief.St.];O2;Sauerstoffgehalt;mg/l;20;20;2018;0,1;2,7;0,75;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;20;20;2018;0,0163;0,1134;0,0564;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;22;2018;0,010725;0,03317;0,022207;4
Afritzer See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2018;0,0092;0,0219;0,0165;4
Afritzer See [tief.St.];pH;pH-Wert;;1;1;2018;7,2;9,3;8,2125;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2018;0,42598;3,528682;1,585838;4
Afritzer See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;20;2018;0,476353;1,665209;0,979342;4
Afritzer See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2018;0,001;0,0035;0,002125;4
Afritzer See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;1,4;4,7;3,175;4
Afritzer See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;7,2;20,3;13,2;4
Aichwaldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2018;4;8;6;2
Aichwaldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;427;434;430,5;2
Aichwaldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;7;7;2018;0,002;1,298;0,65;2
Aichwaldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2018;0,03;0,224;0,127;2
Aichwaldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;7;7;2018;0,1;16,5;8,3;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;7;2018;0,01161;0,014055;0,012833;2
Aichwaldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2018;0,0116;0,014;0,0128;2
Aichwaldsee [tief.St.];pH;pH-Wert;;1;1;2018;8,08;8,3;8,19;2
Aichwaldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2018;0;0;0;0
Aichwaldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2018;0,001;0,001;0,001;2
Aichwaldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;4,4;5,6;5;2
Aichwaldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;17,2;25,2;21,2;2
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;10;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;10;10;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];O2;Sauerstoffgehalt;mg/l;10;10;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];P-ges;Phosphor gesamt;mg/l;10;10;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];pH;pH-Wert;;1;1;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;10;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;0;0;0;0
Badesee Kirschentheuer [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;0;0;0;0
Faaker See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;29;2018;0,5;0,789639;0,616882;4
Faaker See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2018;0,5;0,875;0,6875;4
Faaker See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;355;377;366,5;4
Faaker See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;29;29;2018;0,002;0,022;0,013325;4
Faaker See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2018;0,184571;0,246119;0,219358;4
Faaker See [tief.St.];O2;Sauerstoffgehalt;mg/l;29;29;2018;0,1;11,3;5,45;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;29;2018;0,006375;0,012686;0,008861;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;29;29;2018;0,0056;0,0215;0,011375;4
Faaker See [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2018;0,006688;0,011729;0,009186;4
Faaker See [tief.St.];pH;pH-Wert;;1;1;2018;8,12;8,22;8,1825;4
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;29;2018;0,07242;0,134764;0,110985;4
Faaker See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2018;0,086061;0,187789;0,141396;4
Faaker See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2018;0,001964;0,003333;0,002602;4
Faaker See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;3,3;5,6;4,2;4
Faaker See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;3,3;24,3;14,325;4
Feldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2018;4;8;5,25;4
Feldsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;26;2018;4,575391;7,679577;5,743649;4
Feldsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;112;123;118,25;4
Feldsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;26;26;2018;0,33;1,8;0,8235;4
Feldsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2018;0,021;0,26058;0,167395;4
Feldsee [tief.St.];O2;Sauerstoffgehalt;mg/l;26;26;2018;0,1;0,1;0,1;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;26;2018;0,011694;0,019978;0,014987;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;26;26;2018;0,0223;0,1226;0,0578;4
Feldsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2018;0,0089;0,0211;0,01275;4
Feldsee [tief.St.];pH;pH-Wert;;1;1;2018;6,9;9;7,88;4
Feldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;26;2018;0,262044;0,912653;0,690361;4
Feldsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2018;0,434708;0,775306;0,557274;4
Feldsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2018;0,001;0,004;0,002025;4
Feldsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;3,4;6,1;4,8;4
Feldsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;7,5;20,2;13,275;4
Ferlacher Badesee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2018;1;3;2;2
Ferlacher Badesee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;311;337;324;2
Ferlacher Badesee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;5;5;2018;0,061;0,063;0,062;2
Ferlacher Badesee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2018;0,2;0,349;0,2745;2
Ferlacher Badesee [tief.St.];O2;Sauerstoffgehalt;mg/l;5;5;2018;4,9;6;5,45;2
Ferlacher Badesee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2018;0,007;0,01;0,0085;2
Ferlacher Badesee [tief.St.];pH;pH-Wert;;1;1;2018;8,11;8,45;8,28;2
Ferlacher Badesee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2018;0;0;0;0
Ferlacher Badesee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2018;0,001;0,002;0,0015;2
Ferlacher Badesee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;4,4;4,7;4,55;2
Ferlacher Badesee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;18;18,9;18,45;2
Flatschacher See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;1;1;2018;5;32;18,5;2
Flatschacher See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;200;241;220,5;2
Flatschacher See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2018;0,0116;0,05;0,0308;2
Flatschacher See [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;1;1;2018;0,016;0,874;0,445;2
Flatschacher See [tief.St.];O2;Sauerstoffgehalt;mg/l;1;1;2018;6,4;10,1;8,25;2
Flatschacher See [tief.St.];P-ges;Phosphor gesamt;mg/l;1;1;2018;0,0417;0,0504;0,04605;2
Flatschacher See [tief.St.];pH;pH-Wert;;1;1;2018;7,5;8;7,75;2
Flatschacher See [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;1;1;2018;1,550181;10,862094;6,206138;2
Flatschacher See [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;1;1;2018;0,0026;0,005;0,0038;2
Flatschacher See [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;1,1;1,1;1,1;2
Flatschacher See [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;15;19,7;17,35;2
Forstsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;6;2018;4;5;4,5;2
Forstsee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;30;2018;1,290323;1,806452;1,548388;2
Forstsee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;259;270;264,5;2
Forstsee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;30;30;2018;0,185;0,272;0,2285;2
Forstsee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;6;2018;0,27;0,646;0,458;2
Forstsee [tief.St.];O2;Sauerstoffgehalt;mg/l;30;30;2018;0,1;0,1;0,1;2
Forstsee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;6;2018;0,01;0,0144;0,0122;2
Forstsee [tief.St.];P-ges;Phosphor gesamt;mg/l;30;30;2018;0,0212;0,026;0,0236;2
Forstsee [tief.St.];pH;pH-Wert;;1;1;2018;8,44;8,6;8,52;2
Forstsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;30;2018;0;0;0;0
Forstsee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;6;2018;0;0;0;0
Forstsee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;6;2018;0,0028;0,003;0,0029;2
Forstsee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;4,7;5,3;5;2
Forstsee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;21;23,3;22,15;2
Goggausee [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;0;5;2018;12;33,666667;20,488889;5
Goggausee [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;138;182;162,125;6
Goggausee [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;8;8;2018;0,033;1,65;0,89055;6
Goggausee [tief.St.];NO3-N;Nitrat-Stickstoff;mg/l;0;5;2018;0,003;0,15413;0,029955;6
Goggausee [tief.St.];O2;Sauerstoffgehalt;mg/l;8;8;2018;0,1;9,6;2,9125;6
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;5;2018;0,0205;0,038325;0,028204;6
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;3;2018;0,0161;0,0319;0,0246;6
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;0;8;2018;0,023772;0,046275;0,033125;6
Goggausee [tief.St.];P-ges;Phosphor gesamt;mg/l;8;8;2018;0,025;0,0721;0,0523;6
Goggausee [tief.St.];pH;pH-Wert;;1;1;2018;6,5;8,7;7,86125;6
Goggausee [tief.St.];PHP Biovol.;Phytoplankton Biovolumen;mm³/l;0;5;2018;0,586463;8,38639;2,756161;6
Goggausee [tief.St.];PO4-P;Phosphat-Phosphor;mg/l;0;5;2018;0,001;0,0035;0,002454;6
Goggausee [tief.St.];Sichttiefe;Sichttiefe;m;0;0;2018;1,7;3,7;2,716667;6
Goggausee [tief.St.];Wassertemperatur;Wassertemperatur;°C;0;0;2018;6,3;22,3;16,65;6
Gösselsdorfer See [tief.St.];Chl a int.;Chlorophyll a integr. Gesamtp.;µg/l;1;1;2018;3;3;3;2
Gösselsdorfer See [tief.St.];K25;Elektrische Leitfähigkeit bei 25°C;µS/cm;1;1;2018;365;368;366,5;2
Gösselsdorfer See [tief.St.];NH4-N;Ammonium-Stickstoff;mg/l;1;1;2018;0,0062;0,0201;0,01315;2
