MESSSTELLE;PARAMETERBEZEICHNUNG;DIM;T.von;T.bis;JAHR;AVG;MIN;MAX;ANZ
Afritzer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;7,775;4,3;12,1;4
Afritzer See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;20;2022;8,309871;3,298599;11,406;8
Afritzer See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;172,5;164;177;4
Afritzer See [tief.St.];Ammonium-Stickstoff;mg/l;20;20;2022;0,54775;0,215;0,843;4
Afritzer See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2022;0,04925;0,03;0,107;4
Afritzer See [tief.St.];Sauerstoffgehalt;mg/l;20;20;2022;0,45;0,1;1,5;4
Afritzer See [tief.St.];Phosphor gesamt;mg/l;20;20;2022;0,05675;0,023;0,096;4
Afritzer See [tief.St.];Phosphor gesamt;mg/l;0;6;2022;0,01175;0,008;0,014;4
Afritzer See [tief.St.];Phosphor gesamt;mg/l;0;22;2022;0,018761;0,013029;0,024858;4
Afritzer See [tief.St.];pH-Wert;;1;1;2022;8,2175;7,8;8,99;4
Afritzer See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;20;2022;0,898431;0,400483;1,185173;4
Afritzer See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2022;0,636275;0,458195;0,878566;4
Afritzer See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2022;0,00325;0,002;0,005;4
Afritzer See [tief.St.];Sichttiefe;m;0;0;2022;3,45;3;4,2;4
Afritzer See [tief.St.];Wassertemperatur;�C;0;0;2022;14,5;6,6;21,4;4
Aichwaldsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;11,5;5,8;17,2;2
Aichwaldsee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;373;362;384;2
Aichwaldsee [tief.St.];Ammonium-Stickstoff;mg/l;7;7;2022;0,141;0,119;0,163;2
Aichwaldsee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2022;0,03;0,03;0,03;2
Aichwaldsee [tief.St.];Sauerstoffgehalt;mg/l;7;7;2022;3,35;0,4;6,3;2
Aichwaldsee [tief.St.];Phosphor gesamt;mg/l;0;6;2022;0,012;0,011;0,013;2
Aichwaldsee [tief.St.];pH-Wert;;1;1;2022;8,065;8;8,13;2
Aichwaldsee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2022;0,001;0,001;0,001;2
Aichwaldsee [tief.St.];Sichttiefe;m;0;0;2022;2,65;2,2;3,1;2
Aichwaldsee [tief.St.];Wassertemperatur;�C;0;0;2022;22,25;18,2;26,3;2
Faaker See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;1,175;1;1,7;4
Faaker See [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;29;2022;1,134758;0,999975;1,274079;4
Faaker See [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;359,25;337;376;4
Faaker See [tief.St.];Ammonium-Stickstoff;mg/l;29;29;2022;0,03525;0,019;0,079;4
Faaker See [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2022;0,206988;0,159238;0,254262;4
Faaker See [tief.St.];Sauerstoffgehalt;mg/l;29;29;2022;4,325;0,1;8,7;4
Faaker See [tief.St.];Phosphor gesamt;mg/l;0;6;2022;0,00275;0,0025;0,0035;4
Faaker See [tief.St.];Phosphor gesamt;mg/l;0;29;2022;0,002968;0,0025;0,00397;4
Faaker See [tief.St.];Phosphor gesamt;mg/l;29;29;2022;0,007125;0,0025;0,01;4
Faaker See [tief.St.];pH-Wert;;1;1;2022;8,225;8,1;8,4;4
Faaker See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;29;2022;0,252909;0,084327;0,511331;4
Faaker See [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2022;0,346312;0,102184;0,823355;4
Faaker See [tief.St.];Phosphat-Phosphor;mg/l;0;6;2022;0,001441;0,001;0,002;4
Faaker See [tief.St.];Sichttiefe;m;0;0;2022;4,4;3,5;6,2;4
Faaker See [tief.St.];Wassertemperatur;�C;0;0;2022;13,025;4,5;21,4;4
Feldsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;26;2022;5,743488;3,649485;7,18407;8
Feldsee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;6;2022;5,175;2;9,7;4
Feldsee [tief.St.];Elektrische Leitf�higkeit bei 25�C;�S/cm;1;1;2022;120,25;119;121;4
Feldsee [tief.St.];Ammonium-Stickstoff;mg/l;26;26;2022;0,595;0,253;0,911;4
Feldsee [tief.St.];Nitrat-Stickstoff;mg/l;0;6;2022;0,08375;0,03;0,205;4
Feldsee [tief.St.];Sauerstoffgehalt;mg/l;26;26;2022;0,1;0,1;0,1;4
Feldsee [tief.St.];Phosphor gesamt;mg/l;0;26;2022;0,013453;0,012875;0,014063;4
Feldsee [tief.St.];Phosphor gesamt;mg/l;0;6;2022;0,01325;0,008;0,021;4
Feldsee [tief.St.];Phosphor gesamt;mg/l;26;26;2022;0,06875;0,032;0,134;4
Feldsee [tief.St.];pH-Wert;;1;1;2022;7,7775;7,54;8,27;4
Feldsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;26;2022;0,74337;0,456602;1,210533;4
Feldsee [tief.St.];Phytoplankton Biovolumen;mm�/l;0;6;2022;0,507227;0,176728;0,875379;4
Feldsee [tief.St.];Phosphat-Phosphor;mg/l;0;6;2022;0,002;0,001;0,003;4
Feldsee [tief.St.];Sichttiefe;m;0;0;2022;5,15;3,2;7,3;4
Feldsee [tief.St.];Wassertemperatur;�C;0;0;2022;14,575;6,5;21;4
Ferlacher Badesee [tief.St.];Chlorophyll a integr. Gesamtp. Sonde - Feldwert;�g/l;0;5;2022;9,95;6,6;13,3;2
